name,id_kecamatan,kabupaten_kota_id
Banda Alam,110315,Kab. Aceh Timur
Peudawa,110316,Kab. Aceh Timur
Peureulak Timur,110317,Kab. Aceh Timur
Peureulak Barat,110318,Kab. Aceh Timur
Sungai Raya,110319,Kab. Aceh Timur
Simpang Jernih,110320,Kab. Aceh Timur
Darul Ihsan,110321,Kab. Aceh Timur
Darul Falah,110322,Kab. Aceh Timur
Idi Timur,110323,Kab. Aceh Timur
Peunaron,110324,Kab. Aceh Timur
Linge,110401,Kab. Aceh Tengah
Silih Nara,110402,Kab. Aceh Tengah
Bebesen,110403,Kab. Aceh Tengah
Pegasing,110407,Kab. Aceh Tengah
Bintang,110408,Kab. Aceh Tengah
Ketol,110410,Kab. Aceh Tengah
Kebayakan,110411,Kab. Aceh Tengah
Kute Panang,110412,Kab. Aceh Tengah
Celala,110413,Kab. Aceh Tengah
Laut Tawar,110417,Kab. Aceh Tengah
Atu Lintang,110418,Kab. Aceh Tengah
Jagong Jeget,110419,Kab. Aceh Tengah
Bies,110420,Kab. Aceh Tengah
Rusip Antara,110421,Kab. Aceh Tengah
Johan Pahlawan,110501,Kab. Aceh Barat
Kaway XVI,110502,Kab. Aceh Barat
Sungai Mas,110503,Kab. Aceh Barat
Woyla,110504,Kab. Aceh Barat
Samatiga,110505,Kab. Aceh Barat
Bubon,110506,Kab. Aceh Barat
Arongan Lambalek,110507,Kab. Aceh Barat
Pante Ceureumen,110508,Kab. Aceh Barat
Meureubo,110509,Kab. Aceh Barat
Woyla Barat,110510,Kab. Aceh Barat
Woyla Timur,110511,Kab. Aceh Barat
Panton Reu,110512,Kab. Aceh Barat
Lhoong,110601,Kab. Aceh Besar
Lhoknga,110602,Kab. Aceh Besar
Indrapuri,110603,Kab. Aceh Besar
Seulimeum,110604,Kab. Aceh Besar
Montasik,110605,Kab. Aceh Besar
Sukamakmur,110606,Kab. Aceh Besar
Darul Imarah,110607,Kab. Aceh Besar
Peukan Bada,110608,Kab. Aceh Besar
Mesjid Raya,110609,Kab. Aceh Besar
Ingin Jaya,110610,Kab. Aceh Besar
Kuta Baro,110611,Kab. Aceh Besar
Darussalam,110612,Kab. Aceh Besar
Pulo Aceh,110613,Kab. Aceh Besar
Lembah Seulawah,110614,Kab. Aceh Besar
Kota Jantho,110615,Kab. Aceh Besar
Kuta Cot Glie,110616,Kab. Aceh Besar
Kuta Malaka,110617,Kab. Aceh Besar
Simpang Tiga,110618,Kab. Aceh Besar
Darul Kamal,110619,Kab. Aceh Besar
Baitussalam,110620,Kab. Aceh Besar
Krueng Barona Jaya,110621,Kab. Aceh Besar
Leupung,110622,Kab. Aceh Besar
Blang Bintang,110623,Kab. Aceh Besar
Batee,110703,Kab. Pidie
Delima,110704,Kab. Pidie
Geumpang,110705,Kab. Pidie
Glumpang Tiga,110706,Kab. Pidie
Indrajaya,110707,Kab. Pidie
Kembang Tanjong,110708,Kab. Pidie
Kota Sigli,110709,Kab. Pidie
Mila,110711,Kab. Pidie
Muara Tiga,110712,Kab. Pidie
Mutiara,110713,Kab. Pidie
Padang Tiji,110714,Kab. Pidie
Peukan Baro,110715,Kab. Pidie
Pidie,110716,Kab. Pidie
Sakti,110717,Kab. Pidie
Simpang Tiga,110718,Kab. Pidie
